datetime_AEST,month,date,day,hour,season,CO,DBT,NO2,O3,PM10,PM2.5,SO2
2022-07-17 07:00:00,7,2022-07-17,17,7,winter,0.11338769986804076,11.602,4.440259730438584,18.673,7.57,2.215,0.17417962078297222
2022-07-17 08:00:00,7,2022-07-17,17,8,winter,0.11,12.21,5.597650560740647,18.217689636205307,7.8613904644608965,2.1590475083469443,0.0810141628862695
2022-07-17 09:00:00,7,2022-07-17,17,9,winter,0.11586196731170073,13.326,5.456,18.654,6.652,2.2026105942650815,0.003944764040156201
2022-07-17 10:00:00,7,2022-07-17,17,10,winter,0.09157394206362346,14.418050568338963,3.906890031568821,20.5,6.004,1.5997582662068197,0.0
2022-07-17 11:00:00,7,2022-07-17,17,11,winter,0.094,15.132465392661913,4.0,20.594557960581824,6.951,1.6612710471572,0.0
2022-07-17 12:00:00,7,2022-07-17,17,12,winter,0.08682758928315337,15.02,3.576254140123069,22.018486272527525,6.605705884468222,1.266,0.14068128211182795
2022-07-17 13:00:00,7,2022-07-17,17,13,winter,0.074,15.127,3.6150264158658274,22.453,7.728759738151268,0.7283659917987393,0.0892436249634656
2022-07-17 14:00:00,7,2022-07-17,17,14,winter,0.0852613456146738,13.345,4.012623667060097,22.791,8.907,2.7632670853369206,0.30942675325723457
2022-07-17 15:00:00,7,2022-07-17,17,15,winter,0.10350464260399472,11.863,4.807669931710109,20.35457657805315,8.584,2.5135815760550937,0.2810016618777347
2022-07-17 16:00:00,7,2022-07-17,17,16,winter,0.06637477553602267,11.59,3.9359132688579734,21.481857540427313,6.63,1.3044407046350983,0.27744609228315653
2022-07-17 17:00:00,7,2022-07-17,17,17,winter,0.09706758548791194,10.8415,5.450857107706313,20.511309333461394,9.407196188385413,1.9114701480949776,0.13283654758615882
2022-07-17 18:00:00,7,2022-07-17,17,18,winter,0.0980571143353921,9.906,5.854972266330378,21.298,10.965,3.1800375737758486,0.3141434750357419
2022-07-17 19:00:00,7,2022-07-17,17,19,winter,0.139,9.465,7.365404354210966,19.085,12.933,3.856,0.31775740088919946
2022-07-17 20:00:00,7,2022-07-17,17,20,winter,0.1366517848626303,9.112,7.473578107584839,19.3485,13.102041856823273,3.7702249815252404,0.21678063346943688
2022-07-17 21:00:00,7,2022-07-17,17,21,winter,0.13579958921019553,8.782,6.400350103867908,20.40909428298999,12.3795,4.138788543600711,0.21927571602871865
2022-07-17 22:00:00,7,2022-07-17,17,22,winter,0.11237209881972188,7.941,6.591019971269677,22.794,11.55343706274647,3.8267590955412873,0.27535236139472374
2022-07-17 23:00:00,7,2022-07-17,17,23,winter,0.09317475818450904,7.5765,5.778950830442312,20.263493573064366,10.374543771918344,3.0749745008245926,0.05772036961761273
2022-07-18 00:00:00,7,2022-07-18,18,0,winter,0.1151067453827091,7.242,6.622829376030615,21.40560968343899,8.868,2.792,0.17602052655041225
2022-07-18 01:00:00,7,2022-07-18,18,1,winter,0.16988124104838076,7.047000000000001,9.955281687524916,11.06538042219654,8.7295,3.9227064282965687,0.01166849245149848
2022-07-18 02:00:00,7,2022-07-18,18,2,winter,0.1000192973563493,7.0045,5.811338050648331,19.3660774716501,9.161,2.7350000000000003,0.10835001187969223
2022-07-18 03:00:00,7,2022-07-18,18,3,winter,0.09783290324104343,7.1385000000000005,5.726057015707406,20.26457550634958,9.127469572729307,2.013,0.1454783324961575
2022-07-18 04:00:00,7,2022-07-18,18,4,winter,0.10942682525083525,7.109500000000001,5.893382021363532,20.027836905733125,9.9275,3.1881079022477627,0.11468153188042152
2022-07-18 05:00:00,7,2022-07-18,18,5,winter,0.10547586678863574,7.121,7.3676345868567905,19.1085,10.351500000000001,3.429625528110889,0.1458887294386173
2022-07-18 06:00:00,7,2022-07-18,18,6,winter,0.13167213570465996,7.105,8.905340737221607,16.888355117894676,13.734612071235325,3.621268339922655,0.196300882500541
2022-07-18 07:00:00,7,2022-07-18,18,7,winter,0.14715279031896678,7.077500000000001,8.817629214111296,16.440043588809637,13.9605,3.8128821096590686,0.20385135237382812
2022-07-18 08:00:00,7,2022-07-18,18,8,winter,0.1529017039269827,7.5725,11.043492520101807,15.143696858842766,15.055463362859822,4.335713657426598,0.23938685492159095
2022-07-18 09:00:00,7,2022-07-18,18,9,winter,0.15417353913716542,8.646999999999998,9.672370055412149,15.86266079730305,13.632884668841832,4.7525,0.3160263595697721
2022-07-18 10:00:00,7,2022-07-18,18,10,winter,0.12378831473921892,9.6085,7.778520733474835,18.428447893306547,13.139040722065348,2.3086936910209577,0.3670469365888209
2022-07-18 11:00:00,7,2022-07-18,18,11,winter,0.10075313342522497,10.359,7.247700320344478,21.444479379389616,12.493500000000001,2.9214237575494195,0.40641783492351913
2022-07-18 12:00:00,7,2022-07-18,18,12,winter,0.09910670006650427,11.3835,6.064500000000001,21.449337340477022,11.294,2.818879635813202,0.2969668619245953
2022-07-18 13:00:00,7,2022-07-18,18,13,winter,0.1010359013787518,11.56,5.4352968345411075,23.67330718559557,10.926666815190245,2.297252742294944,0.21843877823033253
2022-07-18 14:00:00,7,2022-07-18,18,14,winter,0.08035236536638103,11.352,4.445004604185375,21.139908493205496,13.275012189795966,3.633,0.32920290264136653
2022-07-18 15:00:00,7,2022-07-18,18,15,winter,0.10482892452529058,10.685,7.379199431989207,20.535856875565056,15.447,4.710323395028993,0.3277400238158066
